,tweet_id,retweet_count,favorite_count,retweet_status
138, 840268004936019968,6497,20950,original tweet
139, 839549326359670784,8805,29957,original tweet
140, 839239871831150596,7422,29684,original tweet
141, 838921590096166913,2357,12183,original tweet
143, 838476387338051585,5484,24664,original tweet
144, 838150277551247360,370,1824,original tweet
145, 838083903487373313,3582,19183,original tweet
146, 837482249356513284,495,4204,original tweet
147, 837366284874571778,6005,23074,original tweet
149, 836753516572119041,5237,21029,original tweet
151, 836380477523124226,3337,16037,original tweet
152, 836001077879255040,4935,20924,original tweet
153, 835574547218894849,4121,19447,original tweet
155, 835264098648616962,1939,8503,original tweet
156, 835172783151792128,6516,28552,original tweet
157, 834931633769889797,1878,11838,original tweet
158, 834574053763584002,2882,14993,original tweet
159, 834458053273591808,1899,10512,original tweet
160, 834167344700198914,4130,17194,original tweet
161, 834086379323871233,2512,14296,original tweet
162, 833826103416520705,3904,16728,original tweet
163, 833722901757046785,3636,22585,original tweet
164, 833124694597443584,5513,22133,original tweet
166, 832682457690300417,2256,4072,original tweet
167, 832636094638288896,3220,17379,original tweet
168, 832369877331693569,3652,18792,original tweet
170, 832088576586297345,3,72,original tweet
171, 832032802820481025,4746,13887,original tweet
172, 831926988323639298,39,369,original tweet
173, 831670449226514432,2059,11469,original tweet
174, 831552930092285952,2632,9872,original tweet
175, 831315979191906304,1264,7117,original tweet
176, 831262627380748289,2350,13066,original tweet
177, 830583320585068544,19297,73397,original tweet
178, 830097400375152640,3455,10804,original tweet
179, 829861396166877184,2243,13441,original tweet
180, 829449946868879360,2329,11519,original tweet
181, 829141528400556032,8530,26952,original tweet
183, 828708714936930305,12882,40241,original tweet
184, 828409743546925057,1305,6898,original tweet
185, 828381636999917570,2554,13864,original tweet
186, 828372645993398273,3344,13756,original tweet
187, 828046555563323392,3260,12923,original tweet
188, 827933404142436356,5987,22180,original tweet
189, 827600520311402496,1082,8143,original tweet
191, 826958653328592898,5757,23767,original tweet
193, 826598365270007810,2709,11117,original tweet
194, 826240494070030336,2965,14614,original tweet
195, 826115272272650244,3599,17299,original tweet
196, 825829644528148480,2848,14025,original tweet
197, 825147591692263424,5244,20181,original tweet
198, 825026590719483904,1483,7020,original tweet
199, 824775126675836928,4069,16508,original tweet
200, 824325613288833024,11848,12999,original tweet
201, 824025158776213504,2551,9049,original tweet
203, 823581115634085888,3031,14376,original tweet
